instance,family,vcpu,memory,cpu,arch,gpu,gpu_mem,net,storage,gen,usd_hr
r8id.48xlarge,Memory optimized,192,1536 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,75000 Megabit,3 x 3800 NVMe SSD,Yes,15.96672
m8in.48xlarge,General purpose,192,768.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,300 Gigabit,EBS only,Yes,16.03968
m8ib.48xlarge,General purpose,192,768.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,200 Gigabit,EBS only,Yes,16.03968
g5.48xlarge,GPU instance,192,768 GiB,AMD EPYC 7R32,64-bit,8,192 GB,100 Gigabit,2 x 3800 GB NVMe SSD,Yes,16.288
i8g.48xlarge,Storage optimized,192,1536 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 100 Gigabit,12 x 3750GB,Yes,16.4736
g7e.24xlarge,GPU instance,96,1024 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,4,384 GB,800 Gigabit,2 x 3800 NVMe SSD,Yes,16.57216
r8gb.48xlarge,Memory optimized,192,1536 GiB,AWS Graviton4 Processor,64-bit,,NA,400 Gigabit,EBS only,Yes,17.48928
r8gn.48xlarge,Memory optimized,192,1536 GiB,AWS Graviton4 Processor,64-bit,,NA,600 Gigabit,EBS only,Yes,17.4893
c8i.96xlarge,Compute optimized,384,768 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,100000 Megabit,EBS only,Yes,17.99232
i7i.48xlarge,Storage optimized,192,1536 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,,NA,Up to 100 Gigabit,12 x 3750 NVMe SSD,Yes,18.121
m8idb.48xlarge,General purpose,192,768.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,200 Gigabit,3 x 3800 NVMe SSD,Yes,18.33024
m8idn.48xlarge,General purpose,192,768.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,300 Gigabit,3 x 3800 NVMe SSD,Yes,18.33024
x8g.48xlarge,Memory optimized,192,3072 GiB,AWS Graviton4 Processor,64-bit,,NA,50 Gigabit,EBS only,Yes,18.7584
