instance,family,vcpu,memory,cpu,arch,gpu,gpu_mem,net,storage,gen,usd_hr
c5.large,Compute optimized,2,4 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.085
c6i.large,Compute optimized,2,4 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.085
m5a.large,General purpose,2,8 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.086
c5ad.large,Compute optimized,2,4 GiB,AMD EPYC 7R32,64-bit,,NA,Up to 10 Gigabit,1 x 75 NVMe SSD,Yes,0.086
m6a.large,General purpose,2,8 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.0864
c6gn.large,Compute optimized,2,4 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.0864
c9g.large,Compute optimized,2,4.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.08694
m1.medium,General purpose,1,3.75 GiB,Intel Xeon Family,32-bit or 64-bit,,NA,Moderate,1 x 410 SSD,No,0.087
c8i-flex.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.08902
c7i.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.08925
m8g.large,General purpose,2,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.08976
m6gd.large,General purpose,2,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 118 NVMe SSD,Yes,0.0904
c7gd.large,Compute optimized,2,4 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.0907
r8gb.medium,Memory optimized,1,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 16.667 Gigabit,EBS only,Yes,0.09109
r8gn.medium,Memory optimized,1,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.0911
t2.large,General purpose,2,8 GiB,Intel Xeon Family,64-bit,,NA,Low to Moderate,EBS only,Yes,0.0928
c8i.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.09371
m7i-flex.large,General purpose,2,8 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.09576
m5.large,General purpose,2,8 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.096
m6i.large,General purpose,2,8 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.096
c5d.large,Compute optimized,2,4 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 10 Gigabit,1 x 50 NVMe SSD,Yes,0.096
x8g.medium,Memory optimized,1,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.0977
m9g.large,General purpose,2,8 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.09784
c8gd.large,Compute optimized,2,4 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.09798
c4.large,Compute optimized,2,3.75 GiB,Intel Xeon E5-2666 v3 (Haswell),64-bit,,NA,Moderate,EBS only,Yes,0.1
m4.large,General purpose,2,8 GiB,Intel Xeon E5-2676 v3 (Haswell),64-bit,,NA,Moderate,EBS only,Yes,0.1
m8i-flex.large,General purpose,2,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.10055
c6id.large,Compute optimized,2,4 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.1008
m7i.large,General purpose,2,8 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.1008
r6g.large,Memory optimized,2,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.1008
a1.xlarge,General purpose,4,8 GiB,AWS Graviton Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,No,0.102
c7a.large,Compute optimized,2,4 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.10264
m5ad.large,General purpose,2,8 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,1 x 75 NVMe SSD,Yes,0.103
m8azn.medium,General purpose,1,4 GiB,AMD EPYC 9575F,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.10323
c3.large,Compute optimized,2,3.75 GiB,Intel Xeon E5-2680 v2 (Ivy Bridge),32-bit or 64-bit,,NA,Moderate,2 x 16 SSD,No,0.105
m8i.large,General purpose,2,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.10584
c9gd.large,Compute optimized,2,4.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 118 NVMe SSD,Yes,0.1068
m7gd.large,General purpose,2,8 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.1068
r7g.large,Memory optimized,2,16 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.1071
c8a.large,Compute optimized,2,4 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.10777
c5n.large,Compute optimized,2,5.25 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.108
c8id.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.11088
m5d.large,General purpose,2,8 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,1 x 75 NVMe SSD,Yes,0.113
r5a.large,Memory optimized,2,16 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.113
c6in.large,Compute optimized,2,4 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 25000 Megabit,EBS only,Yes,0.1134
r6a.large,Memory optimized,2,16 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.1134
r6gd.large,Memory optimized,2,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 118 NVMe SSD,Yes,0.1152
m8gd.large,General purpose,2,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.11532
m7a.large,General purpose,2,8 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.11592
r8g.large,Memory optimized,2,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.11782
c8gb.large,Compute optimized,2,4 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 20 Gigabit,EBS only,Yes,0.1185
c8gn.large,Compute optimized,2,4 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 30 Gigabit,EBS only,Yes,0.1185
m6id.large,General purpose,2,8 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.11865
m5n.large,General purpose,2,8 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.119
m8a.large,General purpose,2,8 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.12172
c7gn.large,Compute optimized,2,4 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 30 Gigabit,EBS only,Yes,0.1248
m9gd.large,General purpose,2,8.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 118 NVMe SSD,Yes,0.1257
r6i.large,Memory optimized,2,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.126
r5.large,Memory optimized,2,16 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.126
c1.medium,Compute optimized,2,1.7 GiB,Intel Xeon Family,32-bit or 64-bit,,NA,Moderate,1 x 350 SSD,No,0.13
m8id.large,General purpose,2,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.13052
r5ad.large,Memory optimized,2,16 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,1 x 75 NVMe SSD,Yes,0.131
r8i-flex.large,Memory optimized,2,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.13197
r7i.large,Memory optimized,2,16 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.1323
r4.large,Memory optimized,2,15.25 GiB,Intel Xeon E5-2686 v4 (Broadwell),64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.133
m3.large,General purpose,2,7.5 GiB,Intel Xeon E5-2670 v2 (Ivy Bridge/Sandy Bridge),64-bit,,NA,Moderate,1 x 32 SSD,No,0.133
t4g.xlarge,General purpose,4,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.1344
m5dn.large,General purpose,2,8 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,1 x 75 NVMe SSD,Yes,0.136
c6g.xlarge,Compute optimized,4,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.136
c8in.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.13608
c8ib.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 16.667 Gigabit,EBS only,Yes,0.13608
r7gd.large,Memory optimized,2,16 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.1361
r8i.large,Memory optimized,2,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.13892
m6in.large,General purpose,2,8 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 25000 Megabit,EBS only,Yes,0.13923
r5d.large,Memory optimized,2,16 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,1 x 75 NVMe SSD,Yes,0.144
is4gen.medium,Storage optimized,1,6 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,1 x 937 SSD,Yes,0.14408
c7g.xlarge,Compute optimized,4,8 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.145
m8gn.large,General purpose,2,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 30 Gigabit,EBS only,Yes,0.1455
m8gb.large,General purpose,2,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 20 Gigabit,EBS only,Yes,0.1455
r8gd.large,Memory optimized,2,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.14696
r5b.large,Memory optimized,2,16 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.149
r5n.large,Memory optimized,2,16 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.149
t3a.xlarge,General purpose,4,16 GiB,AMD EPYC 7571,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.1504
r6id.large,Memory optimized,2,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.1512
r7a.large,Memory optimized,2,16 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.15215
c6a.xlarge,Compute optimized,4,8 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.153
c6gd.xlarge,Compute optimized,4,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 237 NVMe SSD,Yes,0.1536
c5a.xlarge,Compute optimized,4,8 GiB,AMD EPYC 7R32,32-bit or 64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.154
m6g.xlarge,General purpose,4,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.154
i4g.large,Storage optimized,2,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 468 SSD,Yes,0.15444
i3.large,Storage optimized,2,15.25 GiB,Intel Xeon E5-2686 v4 (Broadwell),64-bit,,NA,Up to 10 Gigabit,1 x 475 NVMe SSD,Yes,0.156
m6idn.large,General purpose,2,8 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 25000 Megabit,1 x 118 NVMe SSD,Yes,0.15912
c8g.xlarge,Compute optimized,4,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.15952
r8a.large,Memory optimized,2,16 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.15976
m7g.xlarge,General purpose,4,16 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.1632
m5zn.large,General purpose,2,8 GiB,Intel Xeon Platinum 8252,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.1652
r3.large,Memory optimized,2,15.25 GiB,Intel Xeon E5-2670 v2 (Ivy Bridge),64-bit,,NA,Moderate,1 x 32 SSD,No,0.166
r8id.large,Memory optimized,2,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,1 x 118 NVMe SSD,Yes,0.16632
t3.xlarge,General purpose,4,16 GiB,Intel Skylake E5 2686 v5,64-bit,,NA,Up to 5 Gigabit,EBS only,Yes,0.1664
r5dn.large,Memory optimized,2,16 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,1 x 75 NVMe SSD,Yes,0.167
x2gd.large,Memory optimized,2,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 118 SSD,Yes,0.167
m8in.large,General purpose,2,8.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.16708
m8ib.large,General purpose,2,8.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 16.66 Gigabit,EBS only,Yes,0.16708
c7i-flex.xlarge,Compute optimized,4,8 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.16958
c5.xlarge,Compute optimized,4,8 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.17
c6i.xlarge,Compute optimized,4,8 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.17
c8ine.large,Compute optimized,2,4 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,3.125 Gigabit,EBS only,Yes,0.1701
i8g.large,Storage optimized,2,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 468GB,Yes,0.1716
m5a.xlarge,General purpose,4,16 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.172
i4i.large,Storage optimized,2,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 10 Gigabit,1 x 468 NVMe SSD,Yes,0.172
c5ad.xlarge,Compute optimized,4,8 GiB,AMD EPYC 7R32,64-bit,,NA,Up to 10 Gigabit,1 x 150 NVMe SSD,Yes,0.172
c6gn.xlarge,Compute optimized,4,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.1728
m6a.xlarge,General purpose,4,16 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.1728
c9g.xlarge,Compute optimized,4,8.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,EBS only,Yes,0.17388
r6in.large,Memory optimized,2,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 25000 Megabit,EBS only,Yes,0.17433
m1.large,General purpose,2,7.5 GiB,Intel Xeon Family,64-bit,,NA,Moderate,2 x 420 SSD,No,0.175
c8i-flex.xlarge,Compute optimized,4,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.17804
c7i.xlarge,Compute optimized,4,8 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.1785
m8g.xlarge,General purpose,4,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.17952
m6gd.xlarge,General purpose,4,16 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 237 NVMe SSD,Yes,0.1808
c7gd.xlarge,Compute optimized,4,8 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.1814
im4gn.large,Storage optimized,2,8 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 25 Gigabit,1 x 937 SSD,Yes,0.1819
r8gb.large,Memory optimized,2,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 20 Gigabit,EBS only,Yes,0.18218
r8gn.large,Memory optimized,2,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 30 Gigabit,EBS only,Yes,0.1822
t2.xlarge,General purpose,4,16 GiB,Intel Xeon Family,64-bit,,NA,Moderate,EBS only,Yes,0.1856
z1d.large,Memory optimized,2,16 GiB,Intel Xeon Platinum 8151,64-bit,,NA,Up to 10 Gigabit,1 x 75 NVMe SSD,Yes,0.186
r7iz.large,Memory optimized,2,16 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.186
c8i.xlarge,Compute optimized,4,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.18742
i7i.large,Storage optimized,2,16 GiB,Intel Xeon Scalable (Emerald Rapids),64-bit,,NA,Up to 10 Gigabit,1 x 468 NVMe SSD,Yes,0.1888
m8idn.large,General purpose,2,8.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 25 Gigabit,1 x 118 NVMe SSD,Yes,0.19094
m8idb.large,General purpose,2,8.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 16.66 Gigabit,1 x 118 NVMe SSD,Yes,0.19094
m7i-flex.xlarge,General purpose,4,16 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.19152
m6i.xlarge,General purpose,4,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.192
m5.xlarge,General purpose,4,16 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.192
c5d.xlarge,Compute optimized,4,8 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 10 Gigabit,1 x 100 NVMe SSD,Yes,0.192
r6idn.large,Memory optimized,2,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 25000 Megabit,1 x 118 NVMe SSD,Yes,0.19539
x8g.large,Memory optimized,2,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.1954
m9g.xlarge,General purpose,4,16 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.19568
c8gd.xlarge,Compute optimized,4,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.19596
c4.xlarge,Compute optimized,4,7.5 GiB,Intel Xeon E5-2666 v3 (Haswell),64-bit,,NA,High,EBS only,Yes,0.199
m4.xlarge,General purpose,4,16 GiB,Intel Xeon E5-2676 v3 (Haswell),64-bit,,NA,High,EBS only,Yes,0.2
m8i-flex.xlarge,General purpose,4,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.2011
c6id.xlarge,Compute optimized,4,8 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.2016
r6g.xlarge,Memory optimized,4,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.2016
m7i.xlarge,General purpose,4,16 GiB,Intel Xeon Scalable (Sapphire Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.2016
g6f.large,GPU instance,2,8 GiB,AMD EPYC 7R13 Processor,64-bit,0.125,3 GB,Up to 10 Gigabit,1 x 100 NVMe SSD,Yes,0.202
a1.2xlarge,General purpose,8,16 GiB,AWS Graviton Processor,64-bit,,NA,Up to 10 Gigabit,EBS only,No,0.204
c7a.xlarge,Compute optimized,4,8 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.20528
m5ad.xlarge,General purpose,4,16 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,1 x 150 NVMe SSD,Yes,0.206
m8azn.large,General purpose,2,8 GiB,AMD EPYC 9575F,64-bit,,NA,Up to 30 Gigabit,EBS only,Yes,0.20646
m8ine.large,General purpose,2,8.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,3.125 Gigabit,EBS only,Yes,0.20885
r8in.large,Memory optimized,2,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.2092
r8ib.large,Memory optimized,2,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 16.66 Gigabit,EBS only,Yes,0.2092
c3.xlarge,Compute optimized,4,7.5 GiB,Intel Xeon E5-2680 v2 (Ivy Bridge),64-bit,,NA,Moderate,2 x 40 SSD,No,0.21
m8i.xlarge,General purpose,4,16 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.21168
m7gd.xlarge,General purpose,4,16 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.2136
c9gd.xlarge,Compute optimized,4,8.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 237 NVMe SSD,Yes,0.2136
r7g.xlarge,Memory optimized,4,32 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.2142
c8a.xlarge,Compute optimized,4,8 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.21554
c5n.xlarge,Compute optimized,4,10.5 GiB,Intel Xeon Platinum 8124M,64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.216
x8i.large,Memory optimized,2,32 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.21883
c8id.xlarge,Compute optimized,4,8 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.22176
r5a.xlarge,Memory optimized,4,32 GiB,AMD EPYC 7571,64-bit,,NA,Up to 10 Gigabit,EBS only,Yes,0.226
m5d.xlarge,General purpose,4,16 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 10 Gigabit,1 x 150 NVMe SSD,Yes,0.226
i3en.large,Storage optimized,2,16 GiB,Intel Xeon Platinum 8175,64-bit,,NA,Up to 25 Gigabit,1 x 1250 NVMe SSD,Yes,0.226
c6in.xlarge,Compute optimized,4,8 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 30000 Megabit,EBS only,Yes,0.2268
r6a.xlarge,Memory optimized,4,32 GiB,AMD EPYC 7R13 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.2268
inf1.xlarge,Machine Learning ASIC Instances,4,8 GiB,Intel Xeon Platinum 8275CL (Cascade Lake),64-bit,1,NA,Up to 25 Gigabit,EBS only,Yes,0.228
r6gd.xlarge,Memory optimized,4,32 GiB,AWS Graviton2 Processor,64-bit,,NA,Up to 10 Gigabit,1 x 237 NVMe SSD,Yes,0.2304
m8gd.xlarge,General purpose,4,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.23064
m7a.xlarge,General purpose,4,16 GiB,AMD EPYC 9R14 Processor,64-bit,,NA,Up to 12500 Megabit,EBS only,Yes,0.23184
r8idb.large,Memory optimized,2,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 16.66 Gigabit,1 x 118 NVMe SSD,Yes,0.23447
r8idn.large,Memory optimized,2,16.0 GiB,Intel Xeon Scalable (Granite Rapids),64-bit,,NA,Up to 25 Gigabit,1 x 118 NVMe SSD,Yes,0.23447
r8g.xlarge,Memory optimized,4,32 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 12.5 Gigabit,EBS only,Yes,0.23564
c8gb.xlarge,Compute optimized,4,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 26.667 Gigabit,EBS only,Yes,0.237
c8gn.xlarge,Compute optimized,4,8 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 40 Gigabit,EBS only,Yes,0.237
i8ge.large,Storage optimized,2,16 GiB,AWS Graviton4 Processor,64-bit,,NA,Up to 25 Gigabit,1 x 1250 NVMe SSD,Yes,0.2373
m6id.xlarge,General purpose,4,16 GiB,Intel Xeon 8375C (Ice Lake),64-bit,,NA,Up to 12500 Megabit,1 x 237 NVMe SSD,Yes,0.2373
g6f.xlarge,GPU instance,4,16 GiB,AMD EPYC 7R13 Processor,64-bit,0.125,3 GB,Up to 10 Gigabit,1 x 100 NVMe SSD,Yes,0.2375
m5n.xlarge,General purpose,4,16 GiB,Intel Xeon Platinum 8259 (Cascade Lake),64-bit,,NA,Up to 25 Gigabit,EBS only,Yes,0.238
m8a.xlarge,General purpose,4,16 GiB,AMD EPYC 9R45 Processor,64-bit,,NA,Up to 15000 Megabit,EBS only,Yes,0.24344
m2.xlarge,Memory optimized,2,17.1 GiB,Intel Xeon Family,64-bit,,NA,Moderate,1 x 420 SSD,No,0.245
c7gn.xlarge,Compute optimized,4,8 GiB,AWS Graviton3 Processor,64-bit,,NA,Up to 40 Gigabit,EBS only,Yes,0.2496
m9gd.xlarge,General purpose,4,16.0 GiB,AWS Graviton5 Processor,64-bit,,NA,Up to 15 Gigabit,1 x 237 NVMe SSD,Yes,0.2514
